Winery,Year,Wine ID,Wine,Rating,num_review,Country,Region,Price
Allendorf,2018,1465704,Save Water Drink Riesling Dry 2018,3.7,369,germany,rheingau,9.55
Riff,2021,4086930,Pinot Grigio 2021,3.4,104,italy,venezia,9.56
Joan Sardà,2021,1537006,Blanc Mariner 2021,3.6,145,spain,penedes,9.57
El Perdiguero,2019,1857097,Barrica 2019,4.0,138,spain,cigales,9.57
Vinovalie,2020,5702349,Terre Métissée Red Blend 2020,4.2,160,france,southwest,9.6
Santadi,2021,17963,Villa Solais Vermentino di Sardegna 2021,3.8,110,italy,vermentino-di-sardegna,9.6
Baron de Ley,2019,1152010,Club Privado Tinto 2019,3.6,769,spain,rioja,9.6
Moonlight & Roses,2021,6298001,Coteaux d'Aix-en-Provence Rosé 2021,3.8,113,france,coteaux-daix-en-provence,9.61
Bernard Magrez,2017,1411224,Jamais Renoncer Côtes du Roussillon 2017,3.8,405,france,cotes-du-roussillon,9.62
V8+,N.V.,1595786,Sior Berto Cuvée Brut N.V.,3.4,885,italy,veneto,9.63
Quinta de Ramozeiros,2018,1224733,Branco 2018,3.2,31,portugal,douro,9.63
Château les Rambauds,2018,7540414,Les Abeilles Bordeaux 2018,3.6,56,france,bordeaux,9.65
Casal Farneto,2020,5621670,Frida Passerina 2020,3.5,32,italy,marche,9.65
Telmo Rodriguez,2021,63154,Basa Blanco 2021,3.8,132,spain,rueda,9.65
Château Auzias,2017,7773313,Instinct Terrien 2017,3.7,35,france,cabards,9.65
Villa Folini,2021,1488357,Ribolla Gialla 2021,3.6,80,italy,friuli-venezia-giulia,9.666666666666666
Integro,2021,6328313,Primitivo 2021,4.0,28,italy,puglia,9.67
Palazzo Malgara,2017,1390442,Primitivo 2017,3.7,71,italy,primitivo-di-manduria,9.67
Montes,2019,1246861,Twins Red Blend (Malbec - Cabernet Sauvignon) 2019,3.8,422,chile,colchagua-valley,9.68
Villa Teresa,N.V.,1228914,Prosecco N.V.,3.8,2016,italy,prosecco,9.69
